client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
00778b9356111e5c05365103769fb9ec90fc07e08476add0f61176386783c4be2167959032db674e47e725f640426d62e98048e4a8adb90b34c09797c945e7c0	common_voice_en_37476269.mp3	This led to both the Red Terror and the White Terror.	2	0			United States English		en	
023a5e6a4ca85bad19139255b57274785ae3faae96a7897063358c2ab31d8c3d3d90f2bb78889bef26aeb00c985c52e4eb5e44e35411ba98dbd1b3f80fa229e2	common_voice_en_37406282.mp3	Its members include representatives of the teaching staff, students, and the parents of students.	2	0					en	
02efbf700a190d3114277b0b5e1a0cb00f653cfcd215ce31d258e1a1165115cea9feb70627d8011e827c7a1543b359589539583f86e3c4df3d218685672e1758	common_voice_en_37740889.mp3	Paper wine labels have long been collected.	2	0			England English		en	
033de9ff626035f924f0c3e5a907c459b0a5f28c4bdc1c44e26a8e771f2a2233f304331cef41578ca13f0f59ac492569fd48ee7ab7bdcc49ed410cc6e5492644	common_voice_en_37355311.mp3	I wondered if those birds were redwings?	2	0					en	
05627b7dd6431caab6b11370280f496f99805ce901f0b5e54ce1eba4dd462fe23a57cde42e5a663dfeb0793f2d43ac95f525f5916846a77475212048cd717729	common_voice_en_37442699.mp3	Henry Heimlich also promoted abdominal thrusts as a treatment for drowning and asthma attacks.	2	0					en	
064ea87593d540092997b73680cbd3a0ae9791b5f6822d6a8467536b54893ef072b8baa4547f5a12940388ac8f11bf67c8baae5b12049fa5f1020911a524efd6	common_voice_en_37538724.mp3	Bonallack was born in Chigwell, Essex.	2	0			Spanish influenced		en	
06b6671a98b8bbdee86578cc34735cc229acdbdb489f1c0a3295ee66e60fab298cc841519309609518d7ca8ea4d15942539866571cd60013bb7570738c15ca14	common_voice_en_37607972.mp3	The number of chime sets matches the number of quarter hours that have passed.	2	0			United States English		en	
07a3550eb85d2640f3cc167535baa83a8043f89bb95f9ad300e5fd21a71f94a5e53828db6714d67edfdbcef48a08a048f493ac03ff2ac6e98c287b637115fee9	common_voice_en_37329538.mp3	Subsequently, an anterior approach was introduced.	2	0			India and South Asia (India, Pakistan, Sri Lanka)		en	
0a8c8c625942b9202aac7ffd658989fc3865733649430ba64570cc2109dc40d3c495f49f16742f430315d9745ab4f632b20192b19000e5cb60f91f5e2eb0666f	common_voice_en_37437567.mp3	The Atbara flows only while there is rain in Ethiopia and dries very rapidly.	2	0			United States English		en	
0bc93f8cc82c5db590ab9732167f7086b804bb1847add773979d8352b302e9110906885fe88c242297de5475951dfca89f47f000b3fbc8500d007105307f2e8d	common_voice_en_37431810.mp3	He devoted the rest of his years to Saint Thomas.	2	0					en	
0e6596008a02f5d68ed0373ffe66c685867601a09f34007241281245af0ec6da1bd496d07c12839a62792bae8c812331fb6e6ac488dcbf413394f84d6c2cee53	common_voice_en_37288403.mp3	Katsande and her son were accused of voter intimidation.	2	0			United States English		en	
0fe767b89ca23961faf65db51ca6b515be32a07e647212e9a4805afa641489300253359d4fedaae5047d1cc8e7d43aa9cb94c2d9c99b986e2e8dae22235f9080	common_voice_en_37654589.mp3	Later they were thought to be deposits of volcanic ash or streaks of dust.	2	0			Filipino		en	
112cd3116a2d0026097e95e2af0f5cbbef4971d11fb6dcb2e19090171577f5daab04d1c918940c69644ec58700fd80e1c50ad834a8b86ae39134ebd45a706339	common_voice_en_37306834.mp3	Data was stored in big-endian format.	2	0			United States English		en	
122a08f809b231fef58d841540e42177519e5cfa0665940af34392361d0fb5066ab77973b00a6a9aefb0bd1d084fafaf07dd1d7aa6c40e7caf8f784a33ebe9fc	common_voice_en_37597195.mp3	The Tourist Information Center is run by the Virden Chamber of Commerce.	2	0			India and South Asia (India, Pakistan, Sri Lanka)		en	
13dc54120a4d60e80c7971c4d0a4a0fd642d70a16175c02d48feae0472ffc5c56a8f0154ddf31bd19f45b94cdfe045c7a79d1a3dfedb3dc2c73cfc6641b3f731	common_voice_en_37569251.mp3	Many of these stands were never cleared for agriculture.	2	0					en	
1566e2802bc0a2e60dda1bee73bd9af00f4aa9a18c024109156632dc6c8fbad0e6f2c5270115bfa9e5426b75a1f0108f519ec797f13045233fd34df80d32fdfb	common_voice_en_37389720.mp3	Gluck is grandmother to actress Stephanie Zimbalist.	2	0			England English		en	
175e594c70421000bfd8371221bf1763b61e9b570de02d32208f57f5ce374ad696625299a37d2aef9f837171d6e617e111a67430e95265c5aa6f95072677bc97	common_voice_en_37840118.mp3	Another village is the Aldabra Research Station on Aldabra.	2	0					en	
